iter	Passed	Remaining
1503	4507	25463
1504	4510	25457
1505	4514	25459
1506	4516	25454
1507	4519	25448
1508	4521	25441
1509	4523	25434
1510	4525	25426
1511	4527	25418
1512	4530	25415
1513	4533	25411
1514	4535	25403
1515	4537	25395
1516	4540	25388
1517	4542	25380
1518	4545	25376
1519	4549	25382
1520	4552	25379
1521	4555	25373
1522	4557	25366
1523	4559	25358
1524	4564	25364
1525	4566	25357
1526	4568	25349
1527	4570	25341
1528	4574	25341
1529	4576	25336
1530	4580	25336
1531	4582	25329
1532	4584	25321
1533	4586	25313
1534	4589	25307
1535	4591	25302
1536	4595	25303
1537	4599	25305
1538	4601	25297
1539	4604	25295
1540	4607	25289
1541	4609	25284
1542	4613	25288
1543	4616	25282
1544	4618	25276
1545	4621	25270
1546	4623	25263
1547	4627	25263
1548	4630	25263
1549	4633	25260
1550	4635	25254
1551	4639	25251
1552	4643	25257
1553	4646	25255
1554	4649	25250
1555	4651	25243
1556	4653	25235
1557	4656	25229
1558	4658	25224
1559	4661	25221
1560	4664	25217
1561	4667	25211
1562	4669	25204
1563	4671	25195
1564	4673	25189
1565	4678	25196
1566	4683	25204
1567	4685	25197
1568	4687	25190
1569	4691	25190
1570	4697	25203
1571	4701	25205
1572	4703	25200
1573	4707	25200
1574	4709	25192
1575	4712	25191
1576	4715	25186
1577	4717	25180
1578	4719	25171
1579	4723	25170
1580	4726	25166
1581	4729	25165
1582	4731	25159
1583	4734	25155
1584	4737	25149
1585	4739	25145
1586	4744	25151
1587	4749	25160
1588	4752	25154
1589	4754	25150
1590	4760	25161
1591	4763	25159
1592	4766	25153
1593	4768	25147
1594	4772	25146
1595	4774	25141
1596	4778	25141
1597	4780	25136
1598	4786	25148
1599	4792	25162
1600	4796	25164
1601	4800	25165
1602	4805	25172
1603	4809	25175
1604	4813	25178
1605	4816	25174
1606	4819	25170
1607	4825	25182
1608	4828	25178
1609	4830	25174
1610	4833	25169
1611	4838	25179
1612	4844	25189
1613	4848	25191
1614	4852	25196
1615	4855	25193
1616	4859	25191
1617	4862	25190
1618	4865	25185
1619	4868	25182
1620	4871	25181
1621	4874	25180
1622	4878	25179
1623	4881	25175
1624	4885	25176
1625	4889	25179
1626	4892	25177
1627	4895	25175
1628	4898	25172
1629	4905	25191
